brand,model,size_label,weight_g,pickup_rating,sweet_spot,profile,handle_shape,handle_length,bow,notes,image_url
GM,Verva Original,SH,1210,6.5,low,toe_heavy,oval,standard,medium,Big low middle; power-focused pick-up,
GM,Verva 909,SH,1200,6.7,low,toe_heavy,oval,standard,medium,Power profile; slightly lighter than Original,
GM,Verva 808,SH,1185,7.0,low,power,oval,standard,medium,Power profile; improved pick-up vs heavier Verva,
GM,Verva 404,SH,1165,7.4,low,power,oval,standard,medium,Entry Verva; easier pick-up,
GM,Psyche Original,SH,1170,8.2,mid_low,balanced,oval,standard,medium,Timing/control; quick hands,
GM,Psyche 808 Delta,Delta SH,1165,8.0,mid_low,balanced,oval,standard,medium,Delta handle; control focus,
GM,Psyche Signature,SH,1160,8.3,mid_low,balanced,oval,standard,medium,Light pick-up; stroke-makers,
GM,Psyche 606,SH,1155,8.4,mid_low,balanced,oval,standard,medium,Lighter spec; good for long innings,
GM,Psyche 404,SH,1140,8.6,mid,balanced,oval,standard,medium,Junior/entry; very easy pick-up,
GM,Brava Original,SH,1200,6.8,mid,power,oval,standard,medium,Power all-round; mid swell,
GM,Brava 909,SH,1190,7.0,mid,power,oval,standard,medium,Slightly easier pick-up; still powerful,
GM,Brava 808,SH,1175,7.3,mid,balanced,oval,standard,medium,More balanced for control + power,
GM,Brava 606,SH,1160,7.8,mid,balanced,oval,standard,medium,All-round balance; good bat speed,
GM,Brava 404,SH,1145,8.2,mid,balanced,oval,standard,medium,Entry Brava; easy pick-up,
GM,Diamond DXM 808,SH,1180,7.4,mid,balanced,oval,standard,medium,Classic all-round profile,
GM,Diamond DXM 404,Harrow,1030,8.7,mid,balanced,oval,standard,medium,Junior Harrow; very light pick-up,
GM,Aion DXM Original,Senior,1185,7.6,mid,balanced,oval,standard,medium,All-round modern profile,
GM,Aion DXM 909,Senior,1175,7.8,mid,balanced,oval,standard,medium,All-round; slightly lighter,
GM,Aion DXM 808,Senior,1160,8.1,mid,balanced,oval,standard,medium,Quick pick-up; good control,
GM,Aion DXM 404,Junior,1010,9.0,mid,balanced,oval,standard,medium,Junior; very easy pick-up,
